按強助弱	an[fg ql[gk vu[ql ro[gg
岸然道貌	an[ui rj[xd dc[bz mc[pb
黯然魂消	an[hl rj[xd hy[eg xn[dx
黯然魂銷	an[hl rj[xd hy[eg xn[jx
安然如故	an[gn rj[xd ru[nk gu[gw
黯然傷神	an[hl rj[xd uh[rr uf[uo
黯然神傷	an[hl rj[xd uf[uo uh[rr
黯然失色	an[hl rj[xd ui[pe se[db
黯然無色	an[hl rj[xd wu[ee se[db
安然無事	an[gn rj[xd wu[ee ui[hk
安然無恙	an[gn rj[xd wu[ee yh[bx
黯然銷魂	an[hl rj[xd xn[jx hy[eg
安忍無親	an[gn rf[dx wu[ee qb[la
安忍之懷	an[gn rf[dx vi[dv hk[xb
安忍阻兵	an[gn rf[dx zu[eq bk[qb
安如磐石	an[gn ru[nk pj[ve ui[ek
安如泰山	an[gn ru[nk td[su uj[uk
安弱守雌	an[gn ro[gg uz[gc ci[vv
安若泰山	an[gn ro[cu td[su uj[uk
闇弱無斷	an[ol ro[gg wu[ee dr[mj
安神定魄	an[gn uf[uo dk[gp po[bg
安身樂業	an[gn uf[pu le[px ye[ub
安身立命	an[gn uf[pu li[lh mk[rh
安身立業	an[gn uf[pu li[lh ye[ub
安身為樂	an[gn uf[pu ww[dl le[px
安生服業	an[gn ug[pf fu[oe ye[ub
安生樂業	an[gn ug[pf le[px ye[ub
暗室不欺	an[ol ui[gh bu[eu qi[qd
安時處順	an[gn ui[oc iu[wb uy[iy
暗室逢燈	an[ol ui[gh fg[wz dg[hd
暗室虧心	an[ol ui[gh kv[hk xb[dv
暗室虧心神目如電	an[ol ui[gh kv[hk xb[dv uf[uo mu[we ru[nk dm[ov
安室利處	an[gn ui[gh li[hd iu[wb
安世默識	an[gn ui[nv mo[hq ui[yk
暗室欺心	an[ol ui[gh qi[qd xb[dv
暗室求物	an[ol ui[gh qq[hu wu[nb
安適如常	an[gn ui[qz ru[nk ih[xk
安世三篋	an[gn ui[nv sj[hh qp[vk
暗室私心	an[ol ui[gh si[hs xb[dv
暗室屋漏	an[ol ui[gh wu[uh lz[du
暗室無欺	an[ol ui[gh wu[ee qi[qd
暗送秋波	an[ol ss[bz qq[hh bo[dp
安土樂業	an[gn tu[uh le[px ye[ub
安土戀本	an[gn tu[uh lm[yx bf[ah
按圖索驥	an[fg tu[ww so[uy ji[mb
按圖索駿	an[fg tu[ww so[uy jy[ms
安土息民	an[gn tu[uh xi[zx mb[kv
安土重舊	an[gn tu[uh vs[ph jq[uo
安土重居	an[gn tu[uh vs[ph ju[ug
安土重遷	an[gn tu[uh vs[ph qm[qz
安危冷暖	an[gn ww[de lg[dr nr[oa
安危相易	an[gn ww[de xl[am yi[ob
安危相易禍福相生	an[gn ww[de xl[am yi[ob ho[uk fu[uh xl[am ug[pf
安危與共	an[gn ww[de yu[hv gs[gb
安危之機	an[gn ww[de vi[dv ji[aj
案無留牘	an[ga wu[ee lq[pt du[pu
暗無天日	an[ol wu[ee tm[hd ri[wh
安閒自得	an[gn xm[ma zi[pm de[ro
安閒自在	an[gn xm[ma zi[pm zd[ut
安詳恭敬	an[gn xl[yy gs[gx jk[cw
暗香疏影	an[ol xl[ho uu[pw yk[op
安心定志	an[gn xb[dv dk[gp vi[ux
安心樂業	an[gn xb[dv le[px ye[ub
安心樂意	an[gn xb[dv le[px yi[lx
安心立命	an[gn xb[dv li[lh mk[rh
安心落意	an[gn xb[dv lo[cd yi[lx
安心恬蕩	an[gn xb[dv tm[xq dh[cd
安行疾鬥	an[gn xk[rh ji[bu dz[du
按行自抑	an[fg xk[rh zi[pm yi[fp
按需知密	an[fg xu[ye vi[uk mi[gu
案螢乾死	an[ga yk[ci gj[hu si[hx
安營下寨	an[gn yk[ck xx[hb vd[ga
安營紮寨	an[gn yk[ck va[fv vd[ga
安於覆盂	an[gn yu[eu fu[xr yu[em
安於故俗	an[gn yu[eu gu[gw su[rb
安於故俗溺於舊聞	an[gn yu[eu gu[gw su[rb ni[dg yu[eu jq[uo wf[me
安於磐石	an[gn yu[eu pj[ve ui[ek
安於所習	an[gn yu[eu so[pj xi[vd
安於泰山	an[gn yu[eu td[su uj[uk
安於現狀	an[gn yu[eu xm[wj vl[dq
安於一隅	an[gn yu[eu yi[hh yu[eo
暗約私期	an[ol yt[sb si[hs qi[qo
暗約偷期	an[ol yt[sb tz[rr qi[qo
安宅正路	an[gn vd[gp vg[hv lu[zw
安枕而臥	an[gn vf[ag er[ek wo[kb
安之若固	an[gn vi[dv ro[cu gu[wg
安之若命	an[gn vi[dv ro[cu mk[rh
安之若素	an[gn vi[dv ro[cu su[fy
暗中摸索	an[ol vs[ku mo[fc so[uy
暗中傾軋	an[ol vs[ku qk[rb ya[iv
暗中作梗	an[ol vs[ku zo[rv gg[ah
安坐待斃	an[gn zo[rr dd[rt bi[bh
昂昂不動	ah[op ah[op bu[eu ds[el
昂昂得意	ah[op ah[op de[ro yi[lx
昂昂自若	ah[op ah[op zi[pm ro[cu
昂藏七尺	ah[op ch[cw qi[hv ii[ud
昂然而入	ah[op rj[xd er[ek ru[pd
昂然直入	ah[op rj[xd vi[uj ru[pd
昂然自得	ah[op rj[xd zi[pm de[ro
昂然自若	ah[op rj[xd zi[pm ro[cu
昂首闊步	ah[op uz[be ko[md bu[vu
昂首齊步	ah[op uz[be qi[wp bu[vu
昂首伸眉	ah[op uz[be uf[ro mw[mm
昂首天外	ah[op uz[be tm[hd wd[xb
昂首挺胸	ah[op uz[be tk[fq xs[ob
昂首望天	ah[op uz[be wh[ww tm[hd
卬首信眉	ah[[ uz[be xb[ry mw[mm
卬頭闊步	ah[[ tz[dd ko[md bu[vu
昂頭闊步	ah[op tz[dd ko[md bu[vu
昂頭天外	ah[op tz[dd tm[hd wd[xb
昂頭挺胸	ah[op tz[dd tk[fq xs[ob
昂霄聳壑	ah[op xn[yx ss[re he[bt
盎盂相擊	ah[km yu[em xl[am ji[fk
盎盂相敲	ah[km yu[em xl[am qn[wb
嗷嗷待哺	ao[kf ao[kf dd[rt bu[kf
嗷嗷待食	ao[kf ao[kf dd[rt ui[rl
嗷嗷無告	ao[kf ao[kf wu[ee gc[nk
鏖兵赤壁	ao[gj bk[qb ii[ty bi[ut
傲不可長	ao[rf bu[eu ke[dk vh[ph
熬腸刮肚	ao[fd ih[ov gx[qd du[ot
奧地利一八四八年革命	ao[pd di[ty li[hd yi[hh ba[pd si[we ba[pd nm[rn ge[nk mk[rh
鰲憤龍愁	ao[fy ff[xu ls[yp iz[hx
熬更守夜	ao[fd gg[ho uz[gc ye[wr
傲骨嶙嶙	ao[rf gu[ko lb[um lb[um
傲骨天生	ao[rf gu[ko tm[hd ug[pf
懊悔無及	ao[xp hv[xr wu[ee ji[pv
熬薑呷醋	ao[fd jl[bn xx[ko cu[yg
熬枯受淡	ao[fd ku[ag uz[ay dj[dh
鰲裡奪尊	ao[fy li[ot do[dc zy[bc
傲慢不遜	ao[rf mj[xo bu[eu xy[zz
敖慢不遜	ao[fw mj[xo bu[eu xy[zz
傲慢少禮	ao[rf mj[xo uc[xp li[uv
傲慢無禮	ao[rf mj[xo wu[ee li[uv
鰲鳴鱉應	ao[fy mk[kn bp[by yk[gx
傲睨得志	ao[rf ni[mj de[ro vi[ux
傲睨萬物	ao[rf ni[mj wj[hv wu[nb
傲睨一切	ao[rf ni[mj yi[hh qp[qd
傲睨一世	ao[rf ni[mj yi[hh ui[nv
傲睨自若	ao[rf ni[mj zi[pm ro[cu
熬清受淡	ao[fd qk[df uz[ay dj[dh
熬清守淡	ao[fd qk[df uz[gc dj[dh
傲然矗立	ao[rf rj[xd iu[uu li[lh
傲然睥睨	ao[rf rj[xd pi[mb ni[mj
傲然挺立	ao[rf rj[xd tk[fq li[lh
傲然屹立	ao[rf rj[xd yi[ur li[lh
傲上矜下	ao[rf uh[bh jb[yr xx[hb
傲世輕才	ao[rf ui[nv qk[is cd[hu
傲世輕物	ao[rf ui[nv qk[is wu[nb
傲世妄榮	ao[rf ui[nv wh[wn rs[ca
傲世忘榮	ao[rf ui[nv wh[wx rs[ca
傲霜鬥雪	ao[rf ul[ya dz[du xt[yx
傲霜凌雪	ao[rf ul[ya lk[dt xt[yx
傲頭傲腦	ao[rf tz[dd ao[rf nc[ow
鰲頭獨步	ao[fy tz[dd du[qi bu[vu
鰲頭獨佔	ao[fy tz[dd du[qi vj[bk
傲賢慢士	ao[rf xm[ub mj[xo ui[uh
遨翔自得	ao[fz xl[yx zi[pm de[ro
熬心費力	ao[fd xb[dv fw[fb li[vp
傲雪凌霜	ao[rf xt[yx lk[dt ul[ya
傲雪欺霜	ao[rf xt[yx qi[qd ul[ya
聱牙戟口	ao[fe ya[hv ji[ug kz[uv
聱牙佶屈	ao[fe ya[hv ji[ru qu[ui
聱牙詰屈	ao[fe ya[hv ji[yu qu[ui
聱牙詰曲	ao[fe ya[hv jp[yu qu[ou
謷牙詰屈	ao[[ ya[hv jp[yu qu[ui
熬油費火	ao[fd yz[dy fw[fb ho[dp
鰲魚脫釣	ao[fy yu[dt to[ob dn[jb
鰲擲鯨呿	ao[fy vi[fb jk[yw qu[[
鰲擲鯨吞	ao[fy vi[fb jk[yw ty[tk
