哀江頭	ai[wk jl[dg tz[dd
西山寇盜莫相侵	xi[hk uj[uk kz[ge dc[dm mo[co xl[am qb[rx
西山鸞鶴群	xi[hk uj[uk lr[yn he[gn qy[xy
昔時飛箭無全目	xi[go ui[oc fw[vp jm[vb wu[ee qr[rw mu[we
西施寧久微	xi[hk ui[fr nk[gd jq[xd ww[ru
昔時燕家重郭隗	xi[go ui[oc yj[nk jx[gu vs[ph go[we ww[eg
西施詠	xi[hk ui[fr ys[kd
洗手作羹湯	xi[dn uz[su zo[rv gg[bb th[dv
昔歲逢太平	xi[go sv[ux fg[wz td[dd pk[hb
昔隨劉氏定長安	xi[go sv[eu lq[wd ui[pq dk[gp ih[ph an[gn
喜外弟盧綸見宿	xi[uk wd[xb di[bg lu[bu ly[sr jm[ke su[gr
昔聞洞庭水	xi[go wf[me ds[dk tk[gq uv[uu
棲棲一代中	xi[ax xi[ax yi[hh dd[rq vs[ku
西下峨眉峰	xi[hk xx[hb ee[up mw[mm fg[uw
夕陽度西嶺	xi[xd yh[eo du[gn xi[hk lk[ur
夕陽無限好	xi[xd yh[eo wu[ee xm[eg hc[nz
夕陽依舊壘	xi[xd yh[eo yi[ry jq[uo lw[st
昔有佳人公孫氏	xi[go yz[uo jx[rt rf[pd gs[bs sy[zx ui[pq
惜與故人違	xi[xg yu[hv gu[gw rf[pd ww[wz
西原賊入道州	xi[hk yr[ib zw[bg ru[pd dc[bz vz[dp
昔者吳人張旭善草書書帖	xi[go ve[to wu[kt rf[pd vh[gi xu[jo uj[yk cc[co uu[vv uu[vv tp[jb
羲之俗書趁姿媚	xi[bh vi[dv su[rb uu[vv if[zr zi[dn mw[nm
犀箸饜飫久未下	xi[uu vu[vt yj[ir yu[up jq[xd ww[ha xx[hb
下床畏蛇食畏藥	xx[hb il[ga ww[th ue[ig ui[rl ww[th yc[cs
夏歌	xx[ew ge[kd
下江陵	xx[hb jl[dg lk[et
下窺指高鳥	xx[hb kv[xe vi[fb gc[wk nn[nh
峽裡誰知有人事	xx[uj li[ot uv[yv vi[uk yz[uo rf[pd ui[hk
下馬飲君酒	xx[hb ma[vv yb[ud jy[xk jq[dy
夏日南亭懷辛大	xx[ew ri[wh nj[uk tk[wd hk[xb xb[lu da[hr
夏水欲滿君山青	xx[ew uv[uu yu[bd mj[dc jy[xk uj[uk qk[fo
下有衝波逆折之回川	xx[hb yz[uo is[dv bo[dp ni[nz ve[fj vi[dv hv[wk ir[pu
下有淥水之波瀾	xx[hb yz[uo lu[dx uv[uu vi[dv bo[dp lj[dm
下終南山過斛斯山人宿置酒	xx[hb vs[sw nj[uk uj[uk go[cz hu[dd si[qj uj[uk rf[pd su[gr vi[su jq[dy
閒愛孤雲靜愛僧	xm[ma ai[au gu[zp yy[es jk[fd ai[au sg[rb
閒持貝葉書	xm[ma ii[ft bw[kr ye[ku uu[vv
先帝侍女八千人	xm[ne di[lj ui[rt nv[vp ba[pd qm[pu rf[pd
先帝天馬玉花驄	xm[ne di[lj tm[hd ma[vv yu[wd hx[cr cs[mp
鮮肥屬時禁	xm[yy fw[ob uu[up ui[oc jb[ae
先拂聲弦后角羽	xm[ne fu[ff ug[um xm[gw hz[pk jn[do yu[xx
獻賦十年猶未遇	xm[uq fu[bw ui[hu nm[rn yz[qy ww[ha yu[oz
縣官急索租	xm[qs gr[gu ji[dx so[uy zu[hq
閒窺石鏡清我心	xm[ma kv[xe ui[ek jk[jl qk[df wo[pf xb[dv
閒來垂釣碧溪上	xm[ma ld[hm iv[ph dn[jb bi[we xi[da uh[bh
閒鷺棲常早	xm[ma lu[zn qi[ax ih[xk zc[ou
閒門向山路	xm[ma mf[du xl[pk uj[uk lu[zw
先期汗漫九垓上	xm[ne qi[qo hj[dg mj[do jq[pv gd[tw uh[bh
先遣小姑嘗	xm[ne qm[vz xn[ub gu[ng ih[xe
仙人掌上雨初晴	xm[ru rf[pd vh[xf uh[bh yu[hk iu[yd qk[of
先時已入人肝脾	xm[ne ui[oc yi[kv ru[pd rf[pd gj[og pi[ob
仙台初見五城樓	xm[ru td[sk iu[yd jm[ke wu[hu ig[tw lz[am
仙桃正發花	xm[ru tc[av vg[hv fa[vy hx[cr
弦弦掩抑聲聲思	xm[gw xm[gw yj[fd yi[fp ug[um ug[um si[tx
鹹言意氣高	xm[wh yj[we yi[lx qi[rh gc[wk
閒依農圃鄰	xm[ma yi[ry ns[gy pu[wf lb[re
閒倚一枝藤	xm[ma yi[rd yi[hh vi[au tg[co
仙樂風飄處處聞	xm[ru yt[px fg[ji pn[xf iu[wb iu[wb wf[me
纖雲四卷天無河	xm[sq yy[es si[we jr[be tm[hd wu[ee he[dk
仙之人兮列如麻	xm[ru vi[dv rf[pd xi[bk lp[hd ru[nk ma[ga
先主武侯同閟宮	xm[ne vu[dw wu[hv hz[rv ts[kh bi[[ gs[gk
閒坐悲君亦自悲	xm[ma zo[rr bw[fx jy[xk yi[wy zi[pm bw[fx
閒坐說玄宗	xm[ma zo[rr uo[yb xr[wy zs[ge
相悲各問年	xl[am bw[fx ge[wk wf[mk nm[rn
相對亦忘言	xl[am dv[yc yi[wy wh[wx yj[we
相逢何必曾相識	xl[am fg[wz he[rk bi[xp cg[bo xl[am ui[yk
相見時難別亦難	xl[am jm[ke ui[oc nj[yv bp[kd yi[wy nj[yv
相見語依依	xl[am jm[ke yu[yw yi[ry yi[ry
相看白刃血紛紛	xl[am kj[fm bd[po rf[dd xt[pm ff[sf ff[sf
向來吟秀句	xl[pk ld[hm yb[kr xq[hn ju[bk
鄉淚客中盡	xl[sp lw[dm ke[gw vs[ku jb[ud
相留畏曉鍾	xl[am lq[pt ww[th xn[oq vs[jv
香爐瀑布遙相望	xl[ho lu[hh pu[do bu[uj yc[az xl[am wh[ww
相期邈雲漢	xl[am qi[qo mn[pz yy[es hj[dy
鄉書不可寄	xl[sp uu[vv bu[eu ke[dk ji[gd
鄉書何處達	xl[sp uu[vv he[rk iu[wb da[dz
湘水無情吊豈知	xl[da uv[uu wu[ee qk[xf dn[kj qi[uk vi[uk
相思	xl[am si[tx
相思愁白蘋	xl[am si[tx iz[hx bd[po pk[cp
相送情無限	xl[am ss[bz qk[xf wu[ee xm[eg
向晚意不適	xl[pk wj[od yi[lx bu[eu ui[qz
相望始登高	xl[am wh[ww ui[ns dg[dd gc[wk
香霧雲鬟溼	xl[ho wu[yw yy[es hr[is ui[do
相攜及田家	xl[am xp[fv ji[pv tm[wu jx[gu
鄉心新歲切	xl[sp xb[dv xb[lj sv[ux qp[qd
香菸欲傍袞龍浮	xl[ho yj[hw yu[bd bh[rl gy[ls ls[yp fu[da
襄陽好風日	xl[wk yh[eo hc[nz fg[ji ri[wh
香葉終經宿鸞鳳	xl[ho ye[ku vs[sw jk[ss su[gr lr[yn fg[jy
相憶採芙蓉	xl[am yi[xv cd[aa fu[ce rs[cx
鄉音無改鬢毛衰	xl[sp yb[lo wu[ee gd[kw bb[ig mc[sv uk[wk
相迎不道遠	xl[am yk[pz bu[eu dc[bz yr[ez
相與烜赫流淳熙	xl[am yu[hv xr[[ he[tt lq[dw iy[dw xi[kd
銷愁鬥幾千	xn[jx iz[hx dz[du ji[pv qm[pu
曉耕翻露草	xn[oq gg[le fj[px lu[yz cc[co
孝恭遵婦道	xn[tz gs[gx zy[bz fu[nx dc[bz
簫鼓哀吟感鬼神	xn[vx gu[uu ai[wk yb[kr gj[wx gv[be uf[uo
小姑居處本無郎	xn[ub gu[ng ju[ug iu[wb bf[ah wu[ee lh[le
簫鼓喧喧漢將營	xn[vx gu[uu xr[kg xr[kg hj[dy jl[dx yk[ck
霄漢長懷捧日心	xn[yx hj[dy ih[ph hk[xb pg[fs ri[wh xb[dv
曉汲清湘燃楚燭	xn[oq ji[dj qk[df xl[da rj[hx iu[ap vu[hi
曉鏡但愁雲鬢改	xn[oq jk[jl dj[ro iz[hx yy[es bb[ig gd[kw
效顰安可希	xn[lw pb[vb an[gn ke[dk xi[iu
曉是舞者	xn[oq ui[op wu[rx ve[to
蕭疏鬢已斑	xn[cx uu[pw bb[ig yi[kv bj[ww
曉隨天仗入	xn[oq sv[eu tm[hd vh[rh ru[pd
蕭條異代不同時	xn[cx tn[wa yi[kc dd[rq bu[eu ts[kh ui[oc
校尉羽書飛瀚海	xn[al ww[uc yu[xx uu[vv fw[vp hj[du hd[dr
笑問客從何處來	xn[vp wf[mk ke[gw cs[rr he[rk iu[wb ld[hm
小弦切切如私語	xn[ub xm[gw qp[qd qp[qd ru[nk si[hs yu[yw
蕭蕭班馬鳴	xn[cx xn[cx bj[wd ma[vv mk[kn
逍遙池閣涼	xn[xz yc[az ii[dy ge[mw ll[dw
小園花亂飛	xn[ub yr[we hx[cr lr[qv fw[vp
曉月過殘壘	xn[oq yt[ke go[cz cj[hj lw[st
斜拔玉釵燈影畔	xp[rd ba[fu yu[wd id[jy dg[hd yk[op pj[tb
謝公宿處今尚在	xp[yu gs[bs su[gr iu[wb jb[rd uh[xk zd[ut
謝公行處蒼苔沒	xp[yu gs[bs xk[rh iu[wb ch[cr td[cs mw[dj
謝公最小偏憐女	xp[yu gs[bs zv[oe xn[ub pm[rh lm[xr nv[vp
斜光照墟落	xp[rd gl[xe vc[od xu[th lo[cd
斜倚薰籠坐到明	xp[rd yi[rd xy[cp ls[vy zo[rr dc[hd mk[oo
新炊間黃粱	xb[lj iv[hd jm[mo hl[gy ll[dm
心斷新豐酒	xb[dv dr[mj xb[lj fg[su jq[dy
新鬼煩冤舊鬼哭	xb[lj gv[be fj[hy yr[gd jq[uo gv[be ku[kq
新嫁娘	xb[lj jx[ng nl[nl
新年作	xb[lj nm[rn zo[rv
心期臥亦賒	xb[dv qi[qo wo[kb yi[wy ue[br
心輕萬事皆鴻毛	xb[dv qk[is wj[hv ui[hk jp[bb hs[dn mc[sv
新人美如玉	xb[lj rf[pd mw[bw ru[nk yu[wd
心隨明月到胡天	xb[dv sv[eu mk[oo yt[ke dc[hd hu[go tm[hd
心隨雁飛滅	xb[dv sv[eu yj[ir fw[vp mp[hh
欣欣此生意	xb[jd xb[jd ci[vb ug[pf yi[lx
心異於曩時	xb[dv yi[kc yu[fr nh[ow ui[oc
心有靈犀一點通	xb[dv yz[uo lk[xh xi[uu yi[hh dm[bd ts[sz
信知生男惡	xb[ry vi[uk ug[pf nj[tl ee[hx
新知遭薄俗	xb[lj vi[uk zc[hz bo[cd su[rb
新妝宜面下朱樓	xb[lj vl[dn yi[gq mm[ew xx[hb vu[ph lz[am
星垂平野闊	xk[op iv[ph pk[hb ye[oy ko[md
幸此南夷謫	xk[tb ci[vb nj[uk yi[hg ve[yl
性達形跡忘	xk[xp da[dz xk[kp ji[yz wh[wx
行到水窮處	xk[rh dc[hd uv[uu qs[xl iu[wb
行到中庭數花朵	xk[rh dc[hd vs[ku tk[gq uu[mw hx[cr do[ja
行宮	xk[rh gs[gk
行宮見月傷心色	xk[rh gs[gk jm[ke yt[ke uh[rr xb[dv se[db
星宮之君醉瓊漿	xk[op gs[gk vi[dv jy[xk zv[yw qs[ww jl[du
星河秋一雁	xk[op he[dk qq[hh yi[hh yj[ir
興盡方下山	xk[xb jb[ud fh[dw xx[hb uj[uk
行盡青溪不見人	xk[rh jb[ud qk[fo xi[da bu[eu jm[ke rf[pd
行經華陰	xk[rh jk[ss hx[ru yb[eo
行軍司馬智且勇	xk[rh jy[gi si[vh ma[vv vi[uo qp[ke ys[sl
興來美獨往	xk[xb ld[hm mw[bw du[qi wh[rd
行樂須及春	xk[rh le[px xu[py ji[pv iy[so
星臨萬戶動	xk[op lb[uv wj[hv hu[du ds[el
行路難	xk[rh lu[zw nj[yv
行路難三首之二	xk[rh lu[zw nj[yv sj[hh uz[be vi[dv er[hh
行路難三首之三	xk[rh lu[zw nj[yv sj[hh uz[be vi[dv sj[hh
行路難三首之一	xk[rh lu[zw nj[yv sj[hh uz[be vi[dv yi[hh
行人但云點行頻	xk[rh rf[pd dj[ro yy[es dm[bd hh[rh pb[vy
行人刁斗風沙暗	xk[rh rf[pd dn[vh dz[du fg[ji ua[dx an[ol
行人弓箭各在腰	xk[rh rf[pd gs[kv jm[vb ge[wk zd[ut yc[ox
興是清秋髮	xk[xb ui[op qk[df qq[hh fa[vy
醒時同交歡	xk[yo ui[oc ts[kh jn[li hr[yd
興因廬山發	xk[xb yb[wd lu[gh uj[uk fa[vy
星月掩映雲朣朧	xk[op yt[ke yj[fd yk[ok yy[es ts[[ ls[oy
行舟綠水前	xk[rh vz[pk lv[sx uv[uu qm[bo
兄弟離散	xs[ke di[bg li[wk sj[gw
兄弟遭殺戮	xs[ke di[bg zc[hz ua[ia lu[xg
雄飛雌從繞林間	xs[uv fw[vp ci[vv cs[rr rc[sq lb[aa jm[mo
匈奴草黃馬正肥	xs[bi nu[ny cc[co hl[gy ma[vv vg[hv fw[ob
熊咆龍吟殷巖泉	xs[sd pc[kb ls[yp yb[kr yb[pj yj[ue qr[bu
羞將白髮對華簪	xq[yi jl[dx bd[po fa[vy dv[yc hx[ru zj[vj
繡羅衣裳照暮春	xq[sh lo[sx yi[wy uh[xy vc[od mu[co iy[so
羞顏未嘗開	xq[yi yj[ly ww[ha ih[xe kd[hc
羞逐長安社中兒	xq[yi vu[uz ih[ph an[gn ue[ut vs[ku er[pv
許渾	xu[yw hy[dg
須盡丘壑美	xu[py jb[ud qq[jh he[bt mw[bw
墟里上孤煙	xu[th li[ot uh[bh gu[zp yj[hw
須如蝟毛磔	xu[py ru[nk ww[qt mc[sv ve[ex
須行即騎訪名山	xu[py xk[rh ji[ge qi[md fh[yf mk[xk uj[uk
須臾靜掃眾峰出	xu[py yu[jr jk[fd sc[fx vs[rr fg[uw iu[ck
宣王憤起揮天戈	xr[gh wh[su ff[xu qi[zk hv[fg tm[hd ge[qp
宣州謝朓樓餞別校書叔雲	xr[gh vz[dp xp[yu tn[[ lz[am jm[uj bp[kd xn[al uu[vv uu[uy yy[es
薛逢	xt[cp fg[wz
雪膚花貌參差是	xt[yx fu[oe hx[cr mc[pb cf[sd ci[yg ui[op
血色羅裙翻酒汙	xt[pm se[db lo[sx qy[yx fj[px jq[dy wu[dh
雪上空留馬行處	xt[yx uh[bh ks[xg lq[pt ma[vv xk[rh iu[wb
學書初學衛夫人	xt[xz uu[vv iu[yd xt[xz ww[eh fu[er rf[pd
血汙遊魂歸不得	xt[pm wu[dh yz[df hy[eg gv[ux bu[eu de[ro
循環不可尋	xy[rp hr[wb bu[eu ke[dk xy[xc
尋陸鴻漸不遇	xy[xc lu[ef hs[dn jm[di bu[eu yu[oz
尋南溪常山道人隱居	xy[xc nj[uk xi[da ih[xk uj[uk dc[bz rf[pd yb[ed ju[ug
尋聲暗問彈者誰	xy[xc ug[um an[ol wf[mk dj[gb ve[to uv[yv
尋西山隱者不遇	xy[xc xi[hk uj[uk yb[ed ve[to bu[eu yu[oz
潯言江頭夜送客	xy[dx yj[we jl[dg tz[dd ye[wr ss[bz ke[gw
潯陽地僻無音樂	xy[dx yh[eo di[ty pi[ru wu[ee yb[lo yt[px
尋隱者不遇	xy[xc yb[ed ve[to bu[eu yu[oz
亞相勤王甘苦辛	ya[hy xl[am qb[nl wh[su gj[nh ku[cg xb[lu
煙波江上使人愁	yj[hw bo[dp jl[dg uh[bh ui[rh rf[pd iz[hx
燕草如碧絲	yj[nk cc[co ru[nk bi[we si[sh
言遲更速皆應手	yj[we ii[uz gg[ho su[hz jp[bb yk[gx uz[su
眼穿仍欲歸	yj[mg ir[xy rg[rn yu[bd gv[ux
焉得置之貢玉堂	yj[hh de[ro vi[su vi[dv gs[gb yu[wd th[xt
巖扉松徑長寂寥	yj[ue fw[hf ss[ab jk[rs ih[ph ji[gu ln[gx
燕歌行並序	yj[nk ge[kd xk[rh bk[bk xu[gy
煙花三月下揚州	yj[hw hx[cr sj[hh yt[ke xx[hb yh[fv vz[dp
沿洄安得住	yj[dj hv[dw an[gn de[ro vu[rd
掩淚空相向	yj[fd lw[dm ks[xg xl[am xl[pk
煙籠寒水月籠沙	yj[hw ls[vy hj[gd uv[uu yt[ke ls[vy ua[dx
煙鳥棲初定	yj[hw nn[nh qi[ax iu[yd dk[gp
言訖屢頷天子頤	yj[we qi[yr lv[um hj[ry tm[hd zi[lh yi[ky
宴寢凝清香	yj[go qb[gd nk[db qk[df xl[ho
言入黃花川	yj[we ru[pd hl[gy hx[cr ir[pu
豔色天下重	yj[fd se[db tm[hd xx[hb vs[ph
巖上無心雲相逐	yj[ue uh[bh wu[ee xb[dv yy[es xl[am vu[uz
言師採藥去	yj[we ui[uh cd[aa yc[cs qu[ts
燕臺一去客心驚	yj[nk td[sk yi[hh qu[ts ke[gw xb[dv jk[xw
煙濤微茫信難求	yj[hw tc[df ww[ru mh[cd xb[ry nj[yv qq[hu
燕尾繡蝥弧	yj[nk ww[um xq[sh mc[yi hu[gp
雁下蘆洲白	yj[ir xx[hb lu[ch vz[dd bd[po
煙銷日出不見人	yj[hw xn[jx ri[wh iu[ck bu[eu jm[ke rf[pd
演漾在窗戶	yj[dg yh[db zd[ut il[xp hu[du
焉知二十載	yj[hh vi[uk er[hh ui[hu zd[ti
陽春一曲和皆難	yh[eo iy[so yi[hh qu[ou he[hk jp[bb nj[yv
羊公碑字在	yh[bs gs[bs bw[eb zi[gz zd[ut
陽和不散窮途恨	yh[eo he[hk bu[eu sj[gw qs[xl tu[rz hf[xg
楊花雪落覆白蘋	yh[av hx[cr xt[yx lo[cd fu[xr bd[po pk[cp
楊家有女初長成	yh[av jx[gu yz[uo nv[vp iu[yd vh[ph ig[wv
仰見突兀撐青空	yh[rp jm[ke tu[xq wu[he ig[fx qk[fo ks[xg
仰聆金玉章	yh[rp lk[er jb[rw yu[wd vh[lo
楊柳散和風	yh[av lq[ap sj[gw he[hk fg[ji
漾漾泛菱荇	yh[db yh[db fj[dp lk[ct xk[cr
揚揚燕新乳	yh[fv yh[fv yj[nk xb[lj ru[av
陽月南飛雁	yh[eo yt[ke nj[uk fw[vp yj[ir
養在深閨人未識	yh[yp zd[ut uf[dg gv[mt rf[pd ww[ha ui[yk
遙隔楚雲端	yc[az ge[eh iu[ap yy[es dr[lu
遙寄海西頭	yc[az ji[gd hd[dr xi[hk tz[dd
遙見仙人彩雲裡	yc[az jm[ke xm[ru rf[pd cd[ap yy[es li[ot
遙看一處攢雲樹	yc[az kj[fm yi[hh iu[wb cr[fn yy[es uu[ay
遙窺正殿簾開處	yc[az kv[xe vg[hv dm[uj lm[xj kd[hc iu[wb
遙憐小兒女	yc[az lm[xr xn[ub er[pv nv[vp
搖落深知宋玉悲	yc[fa lo[cd uf[dg vi[uk ss[ga yu[wd bw[fx
邀人傅脂粉	yc[bz rf[pd fu[rf vi[ob ff[mf
邀入赤松家	yc[bz ru[pd ii[ty ss[ab jx[gu
窈窕丹青戶牖空	yc[xy tn[xv dj[kw qk[fo hu[du yz[ph ks[xg
邀我至田家	yc[bz wo[pf vi[ht tm[wu jx[gu
腰下寶玦青青珊瑚	yc[ox xx[hb bc[gw jt[wv qk[fo qk[fo uj[wk hu[wg
腰懸相印作都統	yc[ox xr[qx xl[am yb[pe zo[rv du[te ts[sw
杳杳鐘聲晚	yc[ao yc[ao vs[jv ug[um wj[od
遙夜泛清瑟	yc[az ye[wr fj[dp qk[df se[wx
藥院滋苔紋	yc[cs yr[eg zi[db td[cs wf[sw
遙知兄弟登高處	yc[az vi[uk xs[ke di[bg dg[dd gc[wk iu[wb
夜半無人私語時	ye[wr bj[bf wu[ee rf[pd si[hs yu[yw ui[oc
夜半鐘聲到客船	ye[wr bj[bf vs[jv ug[um dc[hd ke[gw ir[vj
夜榜響溪石	ye[wr bh[al xl[kp xi[da ui[ek
夜泊牛渚懷古	ye[wr bo[db nq[pf vu[dt hk[xb gu[uk
夜泊秦淮近酒家	ye[wr bo[db qb[sh hk[dv jb[jz jq[dy jx[gu
也曾因夢送錢財	ye[vu cg[bo yb[wd mg[ax ss[bz qm[jj cd[bc
野渡無人舟自橫	ye[oy du[dg wu[ee rf[pd vz[pk zi[pm hg[ag
夜飛延秋門上呼	ye[wr fw[vp yj[pj qq[hh mf[du uh[bh hu[kp
業復五銖錢	ye[ub fu[ro wu[hu vu[jp qm[jj
夜歸鹿門山歌	ye[wr gv[ux lu[gb mf[du uj[uk ge[kd
謁衡岳廟遂宿嶽寺題門樓	ye[yo hg[rd yt[qu mn[gy sv[bz su[gr yt[qu si[tc ti[oy mf[du lz[am
野火燒不盡	ye[oy ho[dp uc[hq bu[eu jb[ud
野徑入桑麻	ye[oy jk[rs ru[pd sh[ya ma[ga
夜久侵羅襪	ye[wr jq[xd qb[rx lo[sx wa[yh
曳裾王門不稱情	ye[ov ju[yu wh[su mf[du bu[eu ig[hd qk[xf
野哭千家聞戰伐	ye[oy ku[kq qm[pu jx[gu wf[me vj[bg fa[rg
野曠天低樹	ye[oy kl[og tm[hd di[ru uu[ay
夜來風雨聲	ye[wr ld[hm fg[ji yu[hk ug[um
野老念牧童	ye[oy lc[tb nm[rx mu[nw ts[lo
野老與人爭席罷	ye[oy lc[tb yu[hv rf[pd vg[dx xi[gn ba[st
野鹿呦呦走堂下	ye[oy lu[gb yz[ky yz[ky zz[tv th[xt xx[hb
野幕蔽瓊筵	ye[oy mu[cj bi[cb qs[ww yj[vp
耶孃妻子走相送	ye[ee nl[nl qi[hn zi[lh zz[tv xl[am ss[bz
夜上受降城聞笛	ye[wr uh[bh uz[ay xl[ew ig[tw wf[me di[vy
夜深忽夢少年事	ye[wr uf[dg hu[bx mg[ax uc[xp nm[rn ui[hk
夜深靜臥百蟲絕	ye[wr uf[dg jk[fd wo[kb bd[eo is[ks jt[sd
夜深前殿按歌聲	ye[wr uf[dg qm[bo dm[uj an[fg ge[kd ug[um
野蔬充膳甘長藿	ye[oy uu[cp is[we uj[oy gj[nh ih[ph ho[cy
夜思	ye[wr si[tx
野寺人來少	ye[oy si[tc rf[pd ld[hm uc[xp
夜投佛寺上高閣	ye[wr tz[fj fo[rf si[tc uh[bh gc[wk ge[mw
野望	ye[oy wh[ww
鄴縣見公孫大娘舞西河劍器	ye[ye xm[qs jm[ke gs[bs sy[zx da[hr nl[nl wu[rx xi[hk he[dk jm[rd qi[kq
夜吟應覺月光寒	ye[wr yb[kr yk[gx jt[xj yt[ke gl[xe hj[gd
夜雨剪春韭	ye[wr yu[hk jm[bd iy[so jq[fh
夜雨聞鈴腸斷聲	ye[wr yu[hk wf[me lk[jr ih[ov dr[mj ug[um
夜月愁空山	ye[wr yt[ke iz[hx ks[xg uj[uk
野雲萬里無城郭	ye[oy yy[es wj[hv li[ot wu[ee ig[tw go[we
一杯相屬君當歌	yi[hh bw[ab xl[am vu[up jy[xk dh[xx ge[kd
一別音容兩渺茫	yi[hh bp[kd yb[lo rs[xr ll[hk mn[dm mh[cd
儀曹外郎載筆隨	yi[rd cc[ho wd[xb lh[le zd[ti bi[vm sv[eu
一川碎石大如鬥	yi[hh ir[pu sv[ew ui[ek da[hr ru[nk dz[du
移船相近邀相見	yi[hx ir[vj xl[am jb[jz yc[bz xl[am jm[ke
依叢適自憩	yi[ry cs[rh ui[qz zi[pm qi[qx
一寸相思一寸灰	yi[hh cy[hu xl[am si[tx yi[hh cy[hu hv[uh
一夫當關	yi[hh fu[er dh[xx gr[bt
役夫敢申恨	yi[rj fu[er gj[vw uf[ou hf[xg
夷歌數處起漁樵	yi[hg ge[kd uu[mw iu[wb qi[zk yu[dy qn[av
移官豈至尊	yi[hx gr[gu qi[uk vi[ht zy[bc
遺恨失吞吳	yi[vz hf[xg ui[pe ty[tk wu[kt
以火來照所見稀	yi[sr ho[dp ld[hm vc[od so[pj jm[ke xi[hi
移家雖帶郭	yi[hx jx[gu sv[ki dd[cj go[we
一劍曾當百萬師	yi[hh jm[rd cg[bo dh[xx bd[eo wj[hv ui[uh
一箭正墜雙飛翼	yi[hh jm[vb vg[hv vv[et ul[yy fw[vp yi[xt
意匠慘淡經營中	yi[lx jl[kj cj[xs dj[dh jk[ss yk[ck vs[ku
已經百日竄荊棘	yi[kv jk[ss bd[eo ri[wh cr[xk jk[cd ji[cc
一舉累十觴	yi[hh ju[xf lw[ty ui[hu uh[dr
憶君迢迢隔青天	yi[xv jy[xk tn[dz tn[dz ge[eh qk[fo tm[hd
意恐遲遲歸	yi[lx ks[gx ii[uz ii[uz gv[ux
一覽眾山小	yi[hh lj[uj vs[rr uj[uk xn[ub
倚立自移時	yi[rd li[lh zi[pm yi[hx ui[oc
一路經行處	yi[hh lu[zw jk[ss xk[rh iu[wb
亦能畫馬窮殊相	yi[wy ng[sb hx[ht ma[vv qs[xl uu[hp xl[am
一年明月今宵多	yi[hh nm[rn mk[oo yt[ke jb[rd xn[gx do[xx
一片冰心在玉壺	yi[hh pm[pu bk[du xb[dv zd[ut yu[wd hu[uy
一片降幡出石頭	yi[hh pm[pu jl[ew fj[jp iu[ck ui[ek tz[dd
意氣驕奢劇季倫	yi[lx qi[rh jn[mp ue[dt ju[ud ji[hz ly[rr
一丘嘗欲臥	yi[hh qq[jh ih[xe yu[bd wo[kb
一曲紅綃不知數	yi[hh qu[ou hs[sg xn[sx bu[eu vi[uk uu[mw
一去紫臺連朔漠	yi[hh qu[ts zi[vy td[sk lm[iz uo[no mo[dc
怡然敬父執	yi[xs rj[xd jk[cw fu[bi vi[fj
已忍伶俜十年事	yi[kv rf[dx lk[rr pk[ry ui[hu nm[rn ui[hk
衣上灞陵雨	yi[wy uh[bh ba[dy lk[et yu[hk
衣裳已施行看盡	yi[wy uh[xy yi[kv ui[fr xk[rh kj[fm jb[ud
一身轉戰三千里	yi[hh uf[pu vr[ie vj[bg sj[hh qm[pu li[ot
一生好入名山遊	yi[hh ug[pf hc[nz ru[pd mk[xk uj[uk yz[df
一聲何滿子	yi[hh ug[um he[rk mj[dc zi[lh
一聲已動物皆靜	yi[hh ug[um yi[kv ds[el wu[nb jp[bb jk[fd
衣食才足甘長終	yi[wy ui[rl cd[hu zu[kv gj[nh ih[ph vs[sw
疑是地上霜	yi[bs ui[op di[ty uh[bh ul[ya
以手撫膺坐長嘆	yi[sr uz[su fu[fe yk[go zo[rr ih[ph tj[ky
一樹碧無情	yi[hh uu[ay bi[we wu[ee qk[xf
驛樹西連漢畤平	yi[my uu[ay xi[hk lm[iz hj[dy iz[[ pk[hb
已似長沙傅	yi[kv si[rs ih[ph ua[dx fu[rf
一歲一枯榮	yi[hh sv[ux yi[hh ku[ag rs[ca
一彈一十有八拍	yi[hh tj[gb yi[hh ui[hu yz[uo ba[pd pd[fb
一體君臣祭祀同	yi[hh ti[ra jy[xk if[ku ji[xe si[uk ts[kh
義往難復留	yi[di wh[rd nj[yv fu[ro lq[pt
以為封禪玉檢明堂基	yi[sr ww[dl fg[tc uj[ub yu[wd jm[ar mk[oo th[xt ji[qt
一為取龍城	yi[hh ww[dl qu[ey ls[yp ig[tw
以我獨沉久	yi[sr wo[pf du[qi if[dg jq[xd
一舞劍器動四方	yi[hh wu[rx jm[rd qi[kq ds[el si[we fh[dw
疑誤有新知	yi[bs wu[yk yz[uo xb[lj vi[uk
憶昔初蒙博士徵	yi[xv xi[go iu[yd mg[ch bo[uf ui[uh vg[rh
憶昔霓旌下南苑	yi[xv xi[go ni[yj jk[fr xx[hb nj[uk yr[cx
一洗萬古凡馬空	yi[hh xi[dn wj[hv gu[uk fj[jd ma[vv ks[xg
憶昔巡幸新豐宮	yi[xv xi[go xy[vz xk[tb xb[lj fg[su gs[gk
一弦一柱思華年	yi[hh xm[gw yi[hh vu[ad si[tx hx[ru nm[rn
一宿行人自可愁	yi[hh xq[gr xk[rh rf[pd zi[pm ke[dk iz[hx
噫吁戲	yi[kl xu[ke xi[yg
